cv_index,cv_objective,rank,job_index,job_position,job_company,job_location,similarity_score
0,Big data analytics working and database warehouse manager with robust experience in handling all kin,1,90,Data & Analytics Developer,SunTrust,"Atlanta, GA",0.7134107351303101
0,Big data analytics working and database warehouse manager with robust experience in handling all kin,2,79,"Technical Evangelist – Database, Analytics, and Machine Learning",Amazon.com,"Atlanta, GA",0.6961759924888611
0,Big data analytics working and database warehouse manager with robust experience in handling all kin,3,25,Data Scientist,AirSage,"Atlanta, GA",0.6879135966300964
0,Big data analytics working and database warehouse manager with robust experience in handling all kin,4,85,"Azure Data Scientist, Manager",KPMG,"Atlanta, GA 30338",0.6587057113647461
0,Big data analytics working and database warehouse manager with robust experience in handling all kin,5,29,Data Scientist - CONSULTANT Level - ORLANDO FLORIDA - We will help Relocate,Capgemini,"Atlanta, GA",0.6408259868621826
0,Big data analytics working and database warehouse manager with robust experience in handling all kin,6,18,Data Scientist,Relus Cloud,"Atlanta, GA",0.6391215324401855
0,Big data analytics working and database warehouse manager with robust experience in handling all kin,7,93,"Data Scientist - Senior Consultant - Orlando, Florida",Capgemini,"Atlanta, GA",0.6296804547309875
0,Big data analytics working and database warehouse manager with robust experience in handling all kin,8,44,Lead Data Scientist,Norfolk Southern Corp,"Atlanta, GA 30309 ",0.6164030432701111
0,Big data analytics working and database warehouse manager with robust experience in handling all kin,9,46,"Data Scientist - Consultant Level - Orlando, Florida - we will assist with relocation",Capgemini,"Atlanta, GA",0.6162065863609314
0,Big data analytics working and database warehouse manager with robust experience in handling all kin,10,22,Data Scientist,Norfolk Southern Corp,"Atlanta, GA 30309 ",0.6120021939277649
1,Fresher looking to join as a data analyst and junior data scientist. Experienced in creating meaning,1,45,Senior Data Scientist,Norfolk Southern Corp,"Atlanta, GA 30309 ",0.7404158711433411
1,Fresher looking to join as a data analyst and junior data scientist. Experienced in creating meaning,2,44,Lead Data Scientist,Norfolk Southern Corp,"Atlanta, GA 30309 ",0.712525486946106
1,Fresher looking to join as a data analyst and junior data scientist. Experienced in creating meaning,3,2,Data Scientist,Xpert Staffing,"Atlanta, GA",0.6996407508850098
1,Fresher looking to join as a data analyst and junior data scientist. Experienced in creating meaning,4,102,Data Scientist,Xpert Staffing,"Atlanta, GA",0.6996407508850098
1,Fresher looking to join as a data analyst and junior data scientist. Experienced in creating meaning,5,87,"Data Engineer, Scala",CapTech Consulting,"Atlanta, GA",0.6958353519439697
1,Fresher looking to join as a data analyst and junior data scientist. Experienced in creating meaning,6,157,Data Scientist,fractalanalytics,"Jersey City, NJ",0.6907881498336792
1,Fresher looking to join as a data analyst and junior data scientist. Experienced in creating meaning,7,3,Data Analyst,Operation HOPE,"Atlanta, GA 30303 ",0.6751678586006165
1,Fresher looking to join as a data analyst and junior data scientist. Experienced in creating meaning,8,22,Data Scientist,Norfolk Southern Corp,"Atlanta, GA 30309 ",0.6746848821640015
1,Fresher looking to join as a data analyst and junior data scientist. Experienced in creating meaning,9,103,Data Analyst,Operation HOPE,"Atlanta, GA 30303 ",0.6733590364456177
1,Fresher looking to join as a data analyst and junior data scientist. Experienced in creating meaning,10,14,Business Intelligence Data Science Analyst - Supply Chain,Newell Brands,"Atlanta, GA",0.6714579463005066
2,nan,1,185,Sr. Software Engineer - Machine Learning (PHD preferred),"Petuum, Inc","Sunnyvale, CA",0.5834657549858093
2,nan,2,151,Machine Learning Engineer,Natero,"Mountain View, CA 94040",0.5708532333374023
2,nan,3,63,Machine Learning / Artificial Intelligence Research Scientist,Symantec,"Atlanta, GA 30338",0.5634706616401672
2,nan,4,57,Data Scientist or Data Scientist Lead PS10268,"Anthem, Inc.","Atlanta, GA 30301 ",0.539239764213562
2,nan,5,172,Research Scientist - Deep Learning,CuraCloud Corporation,"Seattle, WA 98104",0.5325728058815002
2,nan,6,34,Data Scientist,SalesLoft,"Atlanta, GA",0.5196690559387207
2,nan,7,149,Quantitative Researcher - AI and Machine Learning Specialist,American Century Investments,"Mountain View, CA 94043",0.510062575340271
2,nan,8,150,Principal NLP Scientist for Search,JD.com,"Mountain View, CA",0.5069208145141602
2,nan,9,168,Machine Learning - Software Engineer / Scientist,Brain Corporation,"San Diego, CA",0.5044357776641846
2,nan,10,59,Senior Cyber Security Data Scientist,Bank of America,"Atlanta, GA 30306 ",0.49899718165397644
3,"To obtain a position in a fast-paced business office environment, demanding a strong organizational,",1,125,Developer / Quantitative Analyst (Entry Level) - Chicago,DV Trading LLC,"Chicago, IL 60642",0.5093289017677307
3,"To obtain a position in a fast-paced business office environment, demanding a strong organizational,",2,52,"VP, Data Scientist- Atlanta, GA; Charlotte, NC",Bank of America Merchant Services,"Atlanta, GA",0.49144497513771057
3,"To obtain a position in a fast-paced business office environment, demanding a strong organizational,",3,31,Business Intelligence Data Scientist - Supply Chain,Newell Brands,"Atlanta, GA",0.48792392015457153
3,"To obtain a position in a fast-paced business office environment, demanding a strong organizational,",4,14,Business Intelligence Data Science Analyst - Supply Chain,Newell Brands,"Atlanta, GA",0.4708724319934845
3,"To obtain a position in a fast-paced business office environment, demanding a strong organizational,",5,74,DATA ANALYST SUPPLY CHAIN,The Home Depot,"Atlanta, GA",0.46600857377052307
3,"To obtain a position in a fast-paced business office environment, demanding a strong organizational,",6,157,Data Scientist,fractalanalytics,"Jersey City, NJ",0.4582674205303192
