cv_index,cv_position,rank,job_index,job_position,job_company,job_location,cosine_score
0,Senior Software Engineer,1,124,"Technical Evangelist – Database, Analytics, and Machine Learning",Amazon.com,"Atlanta, GA",0.6962
0,Senior Software Engineer,2,27,Software Development Engineer,Microsoft,"Cambridge, MA",0.6956
0,Senior Software Engineer,3,308,BIG DATA TECHNICAL LEAD,TransUnion,"Chicago, IL 60661",0.6843
0,Senior Software Engineer,4,181,"Data Scientist, Artificial Intelligence Engineer",Darwin Recruitment,"Boston, MA",0.6834
0,Senior Software Engineer,5,64,Data Engineer,Workbridge Associates,"Mountain View, CA",0.6771
0,Senior Software Engineer,6,289,Big Data SW Engineer,KPMG,"New York, NY 10154 ",0.6764
0,Senior Software Engineer,7,33,Lead Data Analyst,Glu Mobile,"San Francisco, CA",0.6538
0,Senior Software Engineer,8,326,"Data Scientist - Senior Consultant - San Francisco, CA",Clarity Insights,"San Francisco, CA",0.637
0,Senior Software Engineer,9,40,Senior Data Scientist - California,Teradata,"San Francisco, CA 94105",0.6358
0,Senior Software Engineer,10,376,Data Scientist.,Lorven Technologies,"New York, NY",0.6337
1,Machine Learning (ML) Engineer,1,311,Marketing Data Scientist,Procter & Gamble,"Boston, MA 02199",0.6926
1,Machine Learning (ML) Engineer,2,157,Data Scientist,The Coca-Cola Company,"Atlanta, GA 30301 ",0.689
1,Machine Learning (ML) Engineer,3,59,"Data Scientist, Marketing",Rally Health,"San Francisco, CA",0.688
1,Machine Learning (ML) Engineer,4,33,Lead Data Analyst,Glu Mobile,"San Francisco, CA",0.6855
1,Machine Learning (ML) Engineer,5,326,"Data Scientist - Senior Consultant - San Francisco, CA",Clarity Insights,"San Francisco, CA",0.6678
1,Machine Learning (ML) Engineer,6,111,Business Analytics Analyst,Delve,"Boulder, CO",0.6655
1,Machine Learning (ML) Engineer,7,122,"Data Analyst, Business Operations",DataRobot,"Boston, MA 02109",0.6504
1,Machine Learning (ML) Engineer,8,181,"Data Scientist, Artificial Intelligence Engineer",Darwin Recruitment,"Boston, MA",0.647
1,Machine Learning (ML) Engineer,9,312,Data Scientist II,Elevate,"San Diego, CA",0.6463
1,Machine Learning (ML) Engineer,10,388,Data Scientist Lead - PS8886,"Anthem, Inc.","Chicago, IL 60601",0.6416
2,"Executive/ Senior Executive- Trade Marketing, Hygiene Products",1,70,Sr. Software Engineer - Machine Learning,Vulcan Inc.,"Seattle, WA",0.5904
2,"Executive/ Senior Executive- Trade Marketing, Hygiene Products",2,363,Machine Learning Engineer - Center of Excellence - Associate,JP Morgan Chase,"New York, NY 10001 ",0.588
2,"Executive/ Senior Executive- Trade Marketing, Hygiene Products",3,377,"Director Software Development, Deep Learning",Amazon.com,"Seattle, WA",0.5789
2,"Executive/ Senior Executive- Trade Marketing, Hygiene Products",4,376,Data Scientist.,Lorven Technologies,"New York, NY",0.574
2,"Executive/ Senior Executive- Trade Marketing, Hygiene Products",5,250,Senior Software Engineer,BlackLocus,"Austin, TX 78701",0.5736
2,"Executive/ Senior Executive- Trade Marketing, Hygiene Products",6,25,Data Scientist,Internet Brands,"Los Angeles, CA",0.5684
2,"Executive/ Senior Executive- Trade Marketing, Hygiene Products",7,139,Machine Learning Data Scientist-Equity Investment Research,Analytic Recruiting,"New York, NY 10017 ",0.5522
2,"Executive/ Senior Executive- Trade Marketing, Hygiene Products",8,229,"Director, Data Science",84.51°,"Chicago, IL",0.5433
2,"Executive/ Senior Executive- Trade Marketing, Hygiene Products",9,388,Data Scientist Lead - PS8886,"Anthem, Inc.","Chicago, IL 60601",0.5422
2,"Executive/ Senior Executive- Trade Marketing, Hygiene Products",10,312,Data Scientist II,Elevate,"San Diego, CA",0.5386
3,Business Development Executive,1,162,"Sr. Data Engineer, International Consumer FP&A",Amazon.com,"Seattle, WA",0.481
3,Business Development Executive,2,312,Data Scientist II,Elevate,"San Diego, CA",0.4668
3,Business Development Executive,3,212,Senior Manager – Statistical Analysis / Quantitative Modeling,Ashton Lane Group,"Washington, DC",0.4667
3,Business Development Executive,4,74,Data Scientist,Diverse Lynx,"Redmond, WA",0.4657
3,Business Development Executive,5,16,"Data Scientist, Mid",Booz Allen Hamilton,"Washington, DC",0.4652
3,Business Development Executive,6,28,Executive Director - Finance Decision Sciences,JP Morgan Chase,"Chicago, IL 60603",0.4645
3,Business Development Executive,7,21,Data Scientist,Diverse Lynx,"New York, NY",0.4645
3,Business Development Executive,8,177,Data Scientist,Kemper Corporation,"Chicago, IL",0.459
3,Business Development Executive,9,8,18009346 - Mgr/Sr. Mgr - Data Scientist - Customer Data Science,American Express,"New York, NY",0.4544
3,Business Development Executive,10,326,"Data Scientist - Senior Consultant - San Francisco, CA",Clarity Insights,"San Francisco, CA",0.4531
4,Senior iOS Engineer,1,68,Sr Quantitative Finance Analyst,Bank of America,"San Francisco, CA 94104",0.449
4,Senior iOS Engineer,2,314,Quantitative Finance Analyst,Bank of America,"Atlanta, GA 30308 ",0.4406
4,Senior iOS Engineer,3,274,Senior Data Scientist,Prudential,"Newark, NJ",0.4248
4,Senior iOS Engineer,4,397,Research Analyst,D.A. Davidson & Co.,"Seattle, WA 98104",0.4147
4,Senior iOS Engineer,5,212,Senior Manager – Statistical Analysis / Quantitative Modeling,Ashton Lane Group,"Washington, DC",0.4035
4,Senior iOS Engineer,6,399,Operations Research Analyst,Grant Thornton,"Washington, DC 20036",0.3995
4,Senior iOS Engineer,7,156,Operations Research and Risk Analyst,Systems Planning and Analysis,"San Diego, CA",0.3986
4,Senior iOS Engineer,8,312,Data Scientist II,Elevate,"San Diego, CA",0.397
4,Senior iOS Engineer,9,297,Validated Business Systems Analyst,HawkinsPointPartners,"Cambridge, MA 02138",0.3968
4,Senior iOS Engineer,10,323,Quantitative Corporate Finance Analyst,Global Atlantic Financial Group,"New York, NY",0.3889
5,AI Engineer,1,267,IT Cloud Engineer (Active Top Secret),Jacobs,"Washington, DC",0.5872
5,AI Engineer,2,394,Senior Security Technical Program Manager,The Climate Corporation,"Seattle, WA",0.5497
5,AI Engineer,3,214,Security Engineer,Jacobs,"Washington, DC",0.541
5,AI Engineer,4,156,Operations Research and Risk Analyst,Systems Planning and Analysis,"San Diego, CA",0.5353
5,AI Engineer,5,354,Front End Developer,Jacobs,"Washington, DC",0.5036
5,AI Engineer,6,391,Information Security Lead - New Ventures Technology,McKinsey & Company,"Chicago, IL",0.4855
5,AI Engineer,7,216,Computer Network Defense (CND) Analyst,ICF,"Atlanta, GA",0.4729
5,AI Engineer,8,177,Data Scientist,Kemper Corporation,"Chicago, IL",0.4608
5,AI Engineer,9,273,Windows Programmer / Software Engineer (Advanced Degree) - ELSYS,Georgia Tech Research Institute,"Atlanta, GA 30318 ",0.4599
5,AI Engineer,10,230,Data & Applied Scientist II,Microsoft,"Cambridge, MA",0.4542
6,Senior iOS Engineer,1,27,Software Development Engineer,Microsoft,"Cambridge, MA",0.3992
6,Senior iOS Engineer,2,208,Software Development Engineer - Alexa Machine Learning,Amazon.com,"Cambridge, MA",0.3964
6,Senior iOS Engineer,3,353,"Software Engineer, Analytics",Humanyze,"Boston, MA 02114",0.394
6,Senior iOS Engineer,4,70,Sr. Software Engineer - Machine Learning,Vulcan Inc.,"Seattle, WA",0.3893
6,Senior iOS Engineer,5,287,Software Development Manager,Lab126,"Seattle, WA",0.3844
6,Senior iOS Engineer,6,50,Data Scientist,Groupon,"San Francisco, CA 94115",0.374
6,Senior iOS Engineer,7,296,"Software Development Manager, Speech",Amazon.com,"Sunnyvale, CA",0.3682
6,Senior iOS Engineer,8,363,Machine Learning Engineer - Center of Excellence - Associate,JP Morgan Chase,"New York, NY 10001 ",0.3663
6,Senior iOS Engineer,9,267,IT Cloud Engineer (Active Top Secret),Jacobs,"Washington, DC",0.3634
6,Senior iOS Engineer,10,326,"Data Scientist - Senior Consultant - San Francisco, CA",Clarity Insights,"San Francisco, CA",0.3565
7,Senior iOS Engineer,1,151,Laboratory Informatics Specialist,Natera,"San Carlos, CA 94070",0.5316
7,Senior iOS Engineer,2,357,Industrial Operations Manager (663748),Ball Aerospace,"Boulder, CO",0.5297
7,Senior iOS Engineer,3,247,Sr. Staff Process Engineer,Illumina,"San Diego, CA",0.519
7,Senior iOS Engineer,4,154,Automation Engineer,Zymergen,"Emeryville, CA 94608",0.5089
7,Senior iOS Engineer,5,169,Project Engineer II - Electronic Systems Integration & Test (659059) - Security clearance required,Ball Aerospace,"Boulder, CO",0.4901
7,Senior iOS Engineer,6,163,Technical Specialist I-Mechanical (663397),Ball Aerospace,"Boulder, CO",0.4732
7,Senior iOS Engineer,7,57,Senior Firmware Engineer - ELSYS,Georgia Tech Research Institute,"Atlanta, GA 30318 ",0.4691
7,Senior iOS Engineer,8,137,Associate Systems Analyst,Broad Institute,"Cambridge, MA",0.4685
7,Senior iOS Engineer,9,332,QA Engineer,Schireson,"Boston, MA",0.4674
7,Senior iOS Engineer,10,368,"Software Development Engineer, Measurement Automation",Amazon.com,"Seattle, WA",0.465
8,Mechanical Engineer,1,181,"Data Scientist, Artificial Intelligence Engineer",Darwin Recruitment,"Boston, MA",0.692
8,Mechanical Engineer,2,376,Data Scientist.,Lorven Technologies,"New York, NY",0.6884
8,Mechanical Engineer,3,8,18009346 - Mgr/Sr. Mgr - Data Scientist - Customer Data Science,American Express,"New York, NY",0.6271
8,Mechanical Engineer,4,139,Machine Learning Data Scientist-Equity Investment Research,Analytic Recruiting,"New York, NY 10017 ",0.627
8,Mechanical Engineer,5,177,Data Scientist,Kemper Corporation,"Chicago, IL",0.6245
8,Mechanical Engineer,6,312,Data Scientist II,Elevate,"San Diego, CA",0.6207
8,Mechanical Engineer,7,20,Data Science Fellow,Øptimus Consulting,"Washington, DC 20005",0.6167
8,Mechanical Engineer,8,193,Senior Data Scientist,Castlight Health,"San Francisco, CA 94105",0.6113
8,Mechanical Engineer,9,185,AI Research in Machine Learning(ML),JD.com,"Mountain View, CA",0.6064
8,Mechanical Engineer,10,64,Data Engineer,Workbridge Associates,"Mountain View, CA",0.5986
9,Business Development Executive,1,177,Data Scientist,Kemper Corporation,"Chicago, IL",0.5462
9,Business Development Executive,2,88,Sales Engineer,Anaconda,"Austin, TX",0.5248
9,Business Development Executive,3,193,Senior Data Scientist,Castlight Health,"San Francisco, CA 94105",0.5136
9,Business Development Executive,4,229,"Director, Data Science",84.51°,"Chicago, IL",0.4761
9,Business Development Executive,5,333,Research Data Scientist,Amazon.com,"Cambridge, MA",0.4722
9,Business Development Executive,6,353,"Software Engineer, Analytics",Humanyze,"Boston, MA 02114",0.4708
9,Business Development Executive,7,250,Senior Software Engineer,BlackLocus,"Austin, TX 78701",0.4691
9,Business Development Executive,8,301,"Staff Engineer, Machine Learning (macys.com)",Macy's,"San Francisco, CA",0.4588
9,Business Development Executive,9,380,Data Scientist,RCG Holdings LLC,"Chicago, IL 60606",0.4585
9,Business Development Executive,10,64,Data Engineer,Workbridge Associates,"Mountain View, CA",0.4446
10,Mechanical Designer,1,58,"Staffing Services Specialist, Hiring Committee Training",Google,"Mountain View, CA",0.552
10,Mechanical Designer,2,96,Sr. Software Development Manager,Amazon.com,"Seattle, WA",0.511
10,Mechanical Designer,3,362,Data Scientist I,Carney,"Washington, DC",0.5062
10,Mechanical Designer,4,158,Lead Data Engineer,TARGET,"Sunnyvale, CA",0.5054
10,Mechanical Designer,5,212,Senior Manager – Statistical Analysis / Quantitative Modeling,Ashton Lane Group,"Washington, DC",0.503
10,Mechanical Designer,6,312,Data Scientist II,Elevate,"San Diego, CA",0.5029
10,Mechanical Designer,7,383,Data Science Curriculum Developer,Galvanize,"San Francisco, CA",0.4987
10,Mechanical Designer,8,308,BIG DATA TECHNICAL LEAD,TransUnion,"Chicago, IL 60661",0.4967
10,Mechanical Designer,9,177,Data Scientist,Kemper Corporation,"Chicago, IL",0.4967
10,Mechanical Designer,10,156,Operations Research and Risk Analyst,Systems Planning and Analysis,"San Diego, CA",0.4937
