cv_index,cv_position,rank,job_index,job_position,job_company,job_location,cosine_score
0,Senior Software Engineer,1,124,"Technical Evangelist – Database, Analytics, and Machine Learning",Amazon.com,"Atlanta, GA",0.6962
0,Senior Software Engineer,2,27,Software Development Engineer,Microsoft,"Cambridge, MA",0.6956
0,Senior Software Engineer,3,181,"Data Scientist, Artificial Intelligence Engineer",Darwin Recruitment,"Boston, MA",0.6834
0,Senior Software Engineer,4,64,Data Engineer,Workbridge Associates,"Mountain View, CA",0.6771
0,Senior Software Engineer,5,33,Lead Data Analyst,Glu Mobile,"San Francisco, CA",0.6538
0,Senior Software Engineer,6,40,Senior Data Scientist - California,Teradata,"San Francisco, CA 94105",0.6358
0,Senior Software Engineer,7,158,Lead Data Engineer,TARGET,"Sunnyvale, CA",0.6134
0,Senior Software Engineer,8,87,"Data Scientist, Insights Team (Siri Search and Knowledge)",Apple,"San Francisco, CA 94114",0.6066
0,Senior Software Engineer,9,5,Senior Architect 1,Nielsen,"Chicago, IL 60647",0.5943
0,Senior Software Engineer,10,139,Machine Learning Data Scientist-Equity Investment Research,Analytic Recruiting,"New York, NY 10017 ",0.5843
1,Machine Learning (ML) Engineer,1,157,Data Scientist,The Coca-Cola Company,"Atlanta, GA 30301 ",0.689
1,Machine Learning (ML) Engineer,2,59,"Data Scientist, Marketing",Rally Health,"San Francisco, CA",0.688
1,Machine Learning (ML) Engineer,3,33,Lead Data Analyst,Glu Mobile,"San Francisco, CA",0.6855
1,Machine Learning (ML) Engineer,4,111,Business Analytics Analyst,Delve,"Boulder, CO",0.6655
1,Machine Learning (ML) Engineer,5,122,"Data Analyst, Business Operations",DataRobot,"Boston, MA 02109",0.6504
1,Machine Learning (ML) Engineer,6,181,"Data Scientist, Artificial Intelligence Engineer",Darwin Recruitment,"Boston, MA",0.647
1,Machine Learning (ML) Engineer,7,158,Lead Data Engineer,TARGET,"Sunnyvale, CA",0.6371
1,Machine Learning (ML) Engineer,8,60,Data Visualization Software Engineer,KPMG,"New York, NY 10154 ",0.6279
1,Machine Learning (ML) Engineer,9,8,18009346 - Mgr/Sr. Mgr - Data Scientist - Customer Data Science,American Express,"New York, NY",0.626
1,Machine Learning (ML) Engineer,10,170,Data Scientist/Engineer,OUTFRONT media,"New York, NY",0.6233
2,"Executive/ Senior Executive- Trade Marketing, Hygiene Products",1,70,Sr. Software Engineer - Machine Learning,Vulcan Inc.,"Seattle, WA",0.5904
2,"Executive/ Senior Executive- Trade Marketing, Hygiene Products",2,25,Data Scientist,Internet Brands,"Los Angeles, CA",0.5666
2,"Executive/ Senior Executive- Trade Marketing, Hygiene Products",3,139,Machine Learning Data Scientist-Equity Investment Research,Analytic Recruiting,"New York, NY 10017 ",0.5522
2,"Executive/ Senior Executive- Trade Marketing, Hygiene Products",4,85,"Sr. Applied Scientist, Analytics, Insights and Measurements",Amazon.com,"Seattle, WA",0.5271
2,"Executive/ Senior Executive- Trade Marketing, Hygiene Products",5,117,Machine Learning Eng Amazon AI,Amazon.com,"Seattle, WA",0.527
2,"Executive/ Senior Executive- Trade Marketing, Hygiene Products",6,181,"Data Scientist, Artificial Intelligence Engineer",Darwin Recruitment,"Boston, MA",0.5213
2,"Executive/ Senior Executive- Trade Marketing, Hygiene Products",7,10,Statistical Machine Learning Scientist,AIG,"New York, NY",0.519
2,"Executive/ Senior Executive- Trade Marketing, Hygiene Products",8,160,"Data Scientist, Machine Learning Evaluation",Adobe,"San Francisco, CA",0.5147
2,"Executive/ Senior Executive- Trade Marketing, Hygiene Products",9,50,Data Scientist,Groupon,"San Francisco, CA 94115",0.514
2,"Executive/ Senior Executive- Trade Marketing, Hygiene Products",10,185,AI Research in Machine Learning(ML),JD.com,"Mountain View, CA",0.5082
3,Business Development Executive,1,162,"Sr. Data Engineer, International Consumer FP&A",Amazon.com,"Seattle, WA",0.481
3,Business Development Executive,2,177,Data Scientist,Kemper Corporation,"Chicago, IL",0.4707
3,Business Development Executive,3,74,Data Scientist,Diverse Lynx,"Redmond, WA",0.4657
3,Business Development Executive,4,16,"Data Scientist, Mid",Booz Allen Hamilton,"Washington, DC",0.4652
3,Business Development Executive,5,28,Executive Director - Finance Decision Sciences,JP Morgan Chase,"Chicago, IL 60603",0.4645
3,Business Development Executive,6,21,Data Scientist,Diverse Lynx,"New York, NY",0.4645
3,Business Development Executive,7,8,18009346 - Mgr/Sr. Mgr - Data Scientist - Customer Data Science,American Express,"New York, NY",0.4544
3,Business Development Executive,8,45,Supply Chain Data Science Consultant,Accenture,"Atlanta, GA",0.453
3,Business Development Executive,9,30,Principal Machine Learning Data Scientist - Cloud Platform,Capital One,"New York, NY 10261 ",0.4513
3,Business Development Executive,10,181,"Data Scientist, Artificial Intelligence Engineer",Darwin Recruitment,"Boston, MA",0.4447
4,Senior iOS Engineer,1,68,Sr Quantitative Finance Analyst,Bank of America,"San Francisco, CA 94104",0.449
4,Senior iOS Engineer,2,156,Operations Research and Risk Analyst,Systems Planning and Analysis,"San Diego, CA",0.3911
4,Senior iOS Engineer,3,177,Data Scientist,Kemper Corporation,"Chicago, IL",0.386
4,Senior iOS Engineer,4,28,Executive Director - Finance Decision Sciences,JP Morgan Chase,"Chicago, IL 60603",0.3852
4,Senior iOS Engineer,5,69,Business Intelligence Research Analyst,Group One Trading,"New York, NY",0.372
4,Senior iOS Engineer,6,111,Business Analytics Analyst,Delve,"Boulder, CO",0.3671
4,Senior iOS Engineer,7,65,"Sr. Vice President, Data Analytics",UnitedHealth Group,"Chicago, IL 60290",0.3661
4,Senior iOS Engineer,8,16,"Data Scientist, Mid",Booz Allen Hamilton,"Washington, DC",0.3659
4,Senior iOS Engineer,9,78,Senior Software Engineer,Civis Analytics,"Chicago, IL",0.361
4,Senior iOS Engineer,10,21,Data Scientist,Diverse Lynx,"New York, NY",0.3602
5,AI Engineer,1,156,Operations Research and Risk Analyst,Systems Planning and Analysis,"San Diego, CA",0.5343
5,AI Engineer,2,177,Data Scientist,Kemper Corporation,"Chicago, IL",0.4675
5,AI Engineer,3,151,Laboratory Informatics Specialist,Natera,"San Carlos, CA 94070",0.4522
5,AI Engineer,4,37,Cognitive Software Engineer,State Street,"Austin, TX 78701",0.4518
5,AI Engineer,5,137,Associate Systems Analyst,Broad Institute,"Cambridge, MA",0.4498
5,AI Engineer,6,5,Senior Architect 1,Nielsen,"Chicago, IL 60647",0.4336
5,AI Engineer,7,196,Sr. Data Scientist REMOTE,Harnham,"San Francisco, CA",0.4276
5,AI Engineer,8,58,"Staffing Services Specialist, Hiring Committee Training",Google,"Mountain View, CA",0.4246
5,AI Engineer,9,64,Data Engineer,Workbridge Associates,"Mountain View, CA",0.4158
5,AI Engineer,10,126,Data Scientist,"TekPartners, A P2P Company","New York, NY",0.4137
6,Senior iOS Engineer,1,27,Software Development Engineer,Microsoft,"Cambridge, MA",0.3992
6,Senior iOS Engineer,2,70,Sr. Software Engineer - Machine Learning,Vulcan Inc.,"Seattle, WA",0.3893
6,Senior iOS Engineer,3,50,Data Scientist,Groupon,"San Francisco, CA 94115",0.374
6,Senior iOS Engineer,4,125,Senior Front-End Engineer,Usermind,"Seattle, WA",0.3547
6,Senior iOS Engineer,5,68,Sr Quantitative Finance Analyst,Bank of America,"San Francisco, CA 94104",0.3475
6,Senior iOS Engineer,6,87,"Data Scientist, Insights Team (Siri Search and Knowledge)",Apple,"San Francisco, CA 94114",0.347
6,Senior iOS Engineer,7,160,"Data Scientist, Machine Learning Evaluation",Adobe,"San Francisco, CA",0.3431
6,Senior iOS Engineer,8,79,"Software Engineer, Machine Learning",Facebook,"Boston, MA",0.339
6,Senior iOS Engineer,9,157,Data Scientist,The Coca-Cola Company,"Atlanta, GA 30301 ",0.3375
6,Senior iOS Engineer,10,117,Machine Learning Eng Amazon AI,Amazon.com,"Seattle, WA",0.3349
7,Senior iOS Engineer,1,151,Laboratory Informatics Specialist,Natera,"San Carlos, CA 94070",0.5316
7,Senior iOS Engineer,2,154,Automation Engineer,Zymergen,"Emeryville, CA 94608",0.5089
7,Senior iOS Engineer,3,169,Project Engineer II - Electronic Systems Integration & Test (659059) - Security clearance required,Ball Aerospace,"Boulder, CO",0.4901
7,Senior iOS Engineer,4,57,Senior Firmware Engineer - ELSYS,Georgia Tech Research Institute,"Atlanta, GA 30318 ",0.4752
7,Senior iOS Engineer,5,163,Technical Specialist I-Mechanical (663397),Ball Aerospace,"Boulder, CO",0.4732
7,Senior iOS Engineer,6,137,Associate Systems Analyst,Broad Institute,"Cambridge, MA",0.4685
7,Senior iOS Engineer,7,184,Water Resources Engineer 5,CDM Smith,"Austin, TX 78727",0.4476
7,Senior iOS Engineer,8,177,Data Scientist,Kemper Corporation,"Chicago, IL",0.4447
7,Senior iOS Engineer,9,197,Test Pilot - Military Derivatives,BOEING,"Seattle, WA",0.4392
7,Senior iOS Engineer,10,138,Process Development Scientist I,Prometheus Laboratories Inc.,"San Diego, CA 92121",0.4338
8,Mechanical Engineer,1,181,"Data Scientist, Artificial Intelligence Engineer",Darwin Recruitment,"Boston, MA",0.692
8,Mechanical Engineer,2,177,Data Scientist,Kemper Corporation,"Chicago, IL",0.6352
8,Mechanical Engineer,3,8,18009346 - Mgr/Sr. Mgr - Data Scientist - Customer Data Science,American Express,"New York, NY",0.6271
8,Mechanical Engineer,4,139,Machine Learning Data Scientist-Equity Investment Research,Analytic Recruiting,"New York, NY 10017 ",0.627
8,Mechanical Engineer,5,20,Data Science Fellow,Øptimus Consulting,"Washington, DC 20005",0.6167
8,Mechanical Engineer,6,185,AI Research in Machine Learning(ML),JD.com,"Mountain View, CA",0.6064
8,Mechanical Engineer,7,64,Data Engineer,Workbridge Associates,"Mountain View, CA",0.5986
8,Mechanical Engineer,8,170,Data Scientist/Engineer,OUTFRONT media,"New York, NY",0.5982
8,Mechanical Engineer,9,59,"Data Scientist, Marketing",Rally Health,"San Francisco, CA",0.5958
8,Mechanical Engineer,10,193,Senior Data Scientist,Castlight Health,"San Francisco, CA 94105",0.5926
9,Business Development Executive,1,177,Data Scientist,Kemper Corporation,"Chicago, IL",0.5476
9,Business Development Executive,2,88,Sales Engineer,Anaconda,"Austin, TX",0.5248
9,Business Development Executive,3,193,Senior Data Scientist,Castlight Health,"San Francisco, CA 94105",0.5124
9,Business Development Executive,4,64,Data Engineer,Workbridge Associates,"Mountain View, CA",0.4446
9,Business Development Executive,5,158,Lead Data Engineer,TARGET,"Sunnyvale, CA",0.4405
9,Business Development Executive,6,87,"Data Scientist, Insights Team (Siri Search and Knowledge)",Apple,"San Francisco, CA 94114",0.4304
9,Business Development Executive,7,139,Machine Learning Data Scientist-Equity Investment Research,Analytic Recruiting,"New York, NY 10017 ",0.4292
9,Business Development Executive,8,74,Data Scientist,Diverse Lynx,"Redmond, WA",0.4277
9,Business Development Executive,9,17,"Manager, Data Scientist (AI/NLP)",KPMG,"Chicago, IL 60601",0.4211
9,Business Development Executive,10,59,"Data Scientist, Marketing",Rally Health,"San Francisco, CA",0.418
10,Mechanical Designer,1,58,"Staffing Services Specialist, Hiring Committee Training",Google,"Mountain View, CA",0.552
10,Mechanical Designer,2,96,Sr. Software Development Manager,Amazon.com,"Seattle, WA",0.511
10,Mechanical Designer,3,177,Data Scientist,Kemper Corporation,"Chicago, IL",0.5087
10,Mechanical Designer,4,158,Lead Data Engineer,TARGET,"Sunnyvale, CA",0.5054
10,Mechanical Designer,5,20,Data Science Fellow,Øptimus Consulting,"Washington, DC 20005",0.4926
10,Mechanical Designer,6,156,Operations Research and Risk Analyst,Systems Planning and Analysis,"San Diego, CA",0.4868
10,Mechanical Designer,7,151,Laboratory Informatics Specialist,Natera,"San Carlos, CA 94070",0.486
10,Mechanical Designer,8,180,Program Manager,JD.com,"Mountain View, CA",0.4565
10,Mechanical Designer,9,145,Operations Analyst,"Open Data Science, LLC","Cambridge, MA",0.4535
10,Mechanical Designer,10,181,"Data Scientist, Artificial Intelligence Engineer",Darwin Recruitment,"Boston, MA",0.4532
