cv_index,cv_position,rank,job_index,job_position,job_company,job_location,cosine_score
0,Senior Software Engineer,1,30,Principal Machine Learning Data Scientist - Cloud Platform,Capital One,"New York, NY 10261 ",0.6533
0,Senior Software Engineer,2,37,Cognitive Software Engineer,State Street,"Austin, TX 78701",0.6466
0,Senior Software Engineer,3,25,Data Scientist,Internet Brands,"Los Angeles, CA",0.6221
0,Senior Software Engineer,4,5,Senior Architect 1,Nielsen,"Chicago, IL 60647",0.6195
0,Senior Software Engineer,5,40,Senior Data Scientist - California,Teradata,"San Francisco, CA 94105",0.609
0,Senior Software Engineer,6,8,18009346 - Mgr/Sr. Mgr - Data Scientist - Customer Data Science,American Express,"New York, NY",0.5952
0,Senior Software Engineer,7,38,"Manager, Machine Learning Research Science - Alexa",Amazon.com,"Cambridge, MA",0.5768
0,Senior Software Engineer,8,7,"Data Scientist, Operations Decision Support",Google,"Mountain View, CA",0.552
0,Senior Software Engineer,9,27,Software Development Engineer,Microsoft,"Cambridge, MA",0.5502
0,Senior Software Engineer,10,32,Software Engineering Manager - Account Take Over,Sift Science,"Seattle, WA",0.5225
1,Machine Learning (ML) Engineer,1,8,18009346 - Mgr/Sr. Mgr - Data Scientist - Customer Data Science,American Express,"New York, NY",0.6535
1,Machine Learning (ML) Engineer,2,25,Data Scientist,Internet Brands,"Los Angeles, CA",0.6505
1,Machine Learning (ML) Engineer,3,10,Statistical Machine Learning Scientist,AIG,"New York, NY",0.631
1,Machine Learning (ML) Engineer,4,38,"Manager, Machine Learning Research Science - Alexa",Amazon.com,"Cambridge, MA",0.6068
1,Machine Learning (ML) Engineer,5,33,Lead Data Analyst,Glu Mobile,"San Francisco, CA",0.6049
1,Machine Learning (ML) Engineer,6,17,"Manager, Data Scientist (AI/NLP)",KPMG,"Chicago, IL 60601",0.5888
1,Machine Learning (ML) Engineer,7,40,Senior Data Scientist - California,Teradata,"San Francisco, CA 94105",0.5813
1,Machine Learning (ML) Engineer,8,30,Principal Machine Learning Data Scientist - Cloud Platform,Capital One,"New York, NY 10261 ",0.5808
1,Machine Learning (ML) Engineer,9,28,Executive Director - Finance Decision Sciences,JP Morgan Chase,"Chicago, IL 60603",0.5797
1,Machine Learning (ML) Engineer,10,39,Analyst - Periscope Advanced Insights - Growth Mapping,McKinsey & Company,"Chicago, IL",0.5637
2,"Executive/ Senior Executive- Trade Marketing, Hygiene Products",1,14,CIB Chief Data Science Office-Data Scientist – VP - New York,JP Morgan Chase,"New York, NY 10179 ",0.5385
2,"Executive/ Senior Executive- Trade Marketing, Hygiene Products",2,28,Executive Director - Finance Decision Sciences,JP Morgan Chase,"Chicago, IL 60603",0.5329
2,"Executive/ Senior Executive- Trade Marketing, Hygiene Products",3,25,Data Scientist,Internet Brands,"Los Angeles, CA",0.5191
2,"Executive/ Senior Executive- Trade Marketing, Hygiene Products",4,40,Senior Data Scientist - California,Teradata,"San Francisco, CA 94105",0.4982
2,"Executive/ Senior Executive- Trade Marketing, Hygiene Products",5,30,Principal Machine Learning Data Scientist - Cloud Platform,Capital One,"New York, NY 10261 ",0.4837
2,"Executive/ Senior Executive- Trade Marketing, Hygiene Products",6,10,Statistical Machine Learning Scientist,AIG,"New York, NY",0.472
2,"Executive/ Senior Executive- Trade Marketing, Hygiene Products",7,5,Senior Architect 1,Nielsen,"Chicago, IL 60647",0.4533
