cv_index,cv_position,rank,job_index,job_position,job_company,job_location,cosine_score
0,Senior Software Engineer,1,30,Principal Machine Learning Data Scientist - Cloud Platform,Capital One,"New York, NY 10261 ",0.6484
0,Senior Software Engineer,2,5,Senior Architect 1,Nielsen,"Chicago, IL 60647",0.6384
0,Senior Software Engineer,3,40,Senior Data Scientist - California,Teradata,"San Francisco, CA 94105",0.6204
0,Senior Software Engineer,4,37,Cognitive Software Engineer,State Street,"Austin, TX 78701",0.6178
0,Senior Software Engineer,5,25,Data Scientist,Internet Brands,"Los Angeles, CA",0.5994
0,Senior Software Engineer,6,8,18009346 - Mgr/Sr. Mgr - Data Scientist - Customer Data Science,American Express,"New York, NY",0.582
0,Senior Software Engineer,7,38,"Manager, Machine Learning Research Science - Alexa",Amazon.com,"Cambridge, MA",0.5674
0,Senior Software Engineer,8,7,"Data Scientist, Operations Decision Support",Google,"Mountain View, CA",0.5433
0,Senior Software Engineer,9,27,Software Development Engineer,Microsoft,"Cambridge, MA",0.5349
0,Senior Software Engineer,10,33,Lead Data Analyst,Glu Mobile,"San Francisco, CA",0.5293
1,Machine Learning (ML) Engineer,1,8,18009346 - Mgr/Sr. Mgr - Data Scientist - Customer Data Science,American Express,"New York, NY",0.6629
1,Machine Learning (ML) Engineer,2,25,Data Scientist,Internet Brands,"Los Angeles, CA",0.6521
1,Machine Learning (ML) Engineer,3,10,Statistical Machine Learning Scientist,AIG,"New York, NY",0.6199
1,Machine Learning (ML) Engineer,4,33,Lead Data Analyst,Glu Mobile,"San Francisco, CA",0.5984
1,Machine Learning (ML) Engineer,5,38,"Manager, Machine Learning Research Science - Alexa",Amazon.com,"Cambridge, MA",0.597
1,Machine Learning (ML) Engineer,6,28,Executive Director - Finance Decision Sciences,JP Morgan Chase,"Chicago, IL 60603",0.5889
1,Machine Learning (ML) Engineer,7,40,Senior Data Scientist - California,Teradata,"San Francisco, CA 94105",0.5831
1,Machine Learning (ML) Engineer,8,30,Principal Machine Learning Data Scientist - Cloud Platform,Capital One,"New York, NY 10261 ",0.5769
1,Machine Learning (ML) Engineer,9,17,"Manager, Data Scientist (AI/NLP)",KPMG,"Chicago, IL 60601",0.5767
1,Machine Learning (ML) Engineer,10,39,Analyst - Periscope Advanced Insights - Growth Mapping,McKinsey & Company,"Chicago, IL",0.5493
2,"Executive/ Senior Executive- Trade Marketing, Hygiene Products",1,40,Senior Data Scientist - California,Teradata,"San Francisco, CA 94105",0.5259
2,"Executive/ Senior Executive- Trade Marketing, Hygiene Products",2,14,CIB Chief Data Science Office-Data Scientist – VP - New York,JP Morgan Chase,"New York, NY 10179 ",0.5247
2,"Executive/ Senior Executive- Trade Marketing, Hygiene Products",3,28,Executive Director - Finance Decision Sciences,JP Morgan Chase,"Chicago, IL 60603",0.5162
2,"Executive/ Senior Executive- Trade Marketing, Hygiene Products",4,25,Data Scientist,Internet Brands,"Los Angeles, CA",0.5027
2,"Executive/ Senior Executive- Trade Marketing, Hygiene Products",5,10,Statistical Machine Learning Scientist,AIG,"New York, NY",0.4752
2,"Executive/ Senior Executive- Trade Marketing, Hygiene Products",6,30,Principal Machine Learning Data Scientist - Cloud Platform,Capital One,"New York, NY 10261 ",0.4711
2,"Executive/ Senior Executive- Trade Marketing, Hygiene Products",7,5,Senior Architect 1,Nielsen,"Chicago, IL 60647",0.4605
2,"Executive/ Senior Executive- Trade Marketing, Hygiene Products",8,39,Analyst - Periscope Advanced Insights - Growth Mapping,McKinsey & Company,"Chicago, IL",0.4309
2,"Executive/ Senior Executive- Trade Marketing, Hygiene Products",9,8,18009346 - Mgr/Sr. Mgr - Data Scientist - Customer Data Science,American Express,"New York, NY",0.4267
2,"Executive/ Senior Executive- Trade Marketing, Hygiene Products",10,33,Lead Data Analyst,Glu Mobile,"San Francisco, CA",0.4264
3,Business Development Executive,1,28,Executive Director - Finance Decision Sciences,JP Morgan Chase,"Chicago, IL 60603",0.4319
3,Business Development Executive,2,32,Software Engineering Manager - Account Take Over,Sift Science,"Seattle, WA",0.3583
3,Business Development Executive,3,14,CIB Chief Data Science Office-Data Scientist – VP - New York,JP Morgan Chase,"New York, NY 10179 ",0.3255
3,Business Development Executive,4,21,Data Scientist,Diverse Lynx,"New York, NY",0.3046
3,Business Development Executive,5,47,Research Data Analyst,Northwestern University,"Chicago, IL",0.2996
3,Business Development Executive,6,3,Research Analyst-Technical,New York University,"New York, NY",0.2757
3,Business Development Executive,7,38,"Manager, Machine Learning Research Science - Alexa",Amazon.com,"Cambridge, MA",0.2743
3,Business Development Executive,8,9,Data Analyst - German,Amazon.com,"Cambridge, MA",0.2738
3,Business Development Executive,9,6,DATA ARCHITECT,Businesses UNITED TECHNOLOGIES CORP. HEADQUARTERS,"New York, NY",0.2734
3,Business Development Executive,10,16,"Data Scientist, Mid",Booz Allen Hamilton,"Washington, DC",0.2701
4,Senior iOS Engineer,1,28,Executive Director - Finance Decision Sciences,JP Morgan Chase,"Chicago, IL 60603",0.3727
4,Senior iOS Engineer,2,47,Research Data Analyst,Northwestern University,"Chicago, IL",0.3512
4,Senior iOS Engineer,3,32,Software Engineering Manager - Account Take Over,Sift Science,"Seattle, WA",0.3507
4,Senior iOS Engineer,4,21,Data Scientist,Diverse Lynx,"New York, NY",0.3365
4,Senior iOS Engineer,5,43,SENIOR VALUE BASED ANALYST,University of Washington,"Seattle, WA",0.3151
4,Senior iOS Engineer,6,40,Senior Data Scientist - California,Teradata,"San Francisco, CA 94105",0.2968
4,Senior iOS Engineer,7,3,Research Analyst-Technical,New York University,"New York, NY",0.2799
4,Senior iOS Engineer,8,35,Account Executive / Pharma Alliances Manager,Sophia Genetics,"Boston, MA",0.2751
4,Senior iOS Engineer,9,38,"Manager, Machine Learning Research Science - Alexa",Amazon.com,"Cambridge, MA",0.2579
4,Senior iOS Engineer,10,6,DATA ARCHITECT,Businesses UNITED TECHNOLOGIES CORP. HEADQUARTERS,"New York, NY",0.2451
5,AI Engineer,1,38,"Manager, Machine Learning Research Science - Alexa",Amazon.com,"Cambridge, MA",0.4485
