position,company,description,numreview,location
Data Scientist—Research (Ref # EXEC/RD_DAT_NYC_6073),New York State Office of the Attorney General (OAG),"<span id=""job_summary"" class=""summary""><p><b>Executive Division – Research and Analytics Department</b></p><p><b>Data Scientist – New York City</b></p><p><b>Reference No: EXEC/RD_DAT_NYC_6073</b></p><p><b>**PLEASE NOTE: To be considered for this position, applications must be submitted online through the OAG jobs pages, www.ag.ny.gov/job-postings. Please be advised that submissions received through Indeed do not constitute complete applications for our purposes**</b></p><p><b>Goal</b></p><p>The Research and Analytics Department in the New York State Office of the Attorney General (“OAG”) is seeking a candidate for a full-time Data Scientist position to explore datasets, develop new databases and use predictive modeling to detect anomalies in information pertinent to OAG investigations. The goal of the Data Scientist at the OAG is to ensure that our most complicated cases and policy arenas have the benefit of advanced analytical tools to understand how otherwise elusive trends can be laid bare once we dive into the underlying data.</p><p><b>Purview</b></p><p>As part of an innovative team housed in the Executive Division, the selected candidate will work with senior staff and divisions through the OAG to support the OAG's major initiatives, investigations, and policy development. Our team researches and writes analytical reports garnering national attention, directs multi-million dollar grant programs, and supports the office’s major investigations. See, for example, Target on Traffickingand Ticket Sales Report. Utilizing a vast collection of public and confidential information, the selected candidate will work with data covering the breadth of the OAG’s purview building advanced analytic tools to inform investigations that impact the lives of all New Yorkers.</p><p>Employing over 1,700 people across New York State, the OAG is both the “People's Lawyer” and the State's chief legal officer. The Data Scientist will support OAG work in numerous legal and regulatory arenas, including protecting the rights of investors and consumers, coordinating state-wide criminal investigations, promoting economic and social justice, encouraging harm-reducing public health strategies, and preserving the State’s environment. The OAG also advises the Executive branch of State government and defends actions and proceedings on behalf of the State.</p><p><b>Responsibilities</b></p><p>The OAG has a rich source of public and confidential data. The Data Scientist will be primarily responsible for the following:</p><ul><li>Exploring and analyzing data</li><li>Communicating findings through written reports and visualizations</li></ul><p><i>Additional responsibilities may include: </i></p><ul><li>Developing predictive modeling to detect anomalies</li><li>Developing or programming new databases or data tools</li><li>Performing other duties as requested</li></ul><p><b>Qualifications/Skills</b></p><ul><li>Advanced degree in computer science, mathematics, applied statistics, physics, engineering or similar disciplines with demonstrated research capability or bachelor’s degree and equivalent experience and training;</li><li>Experience with the following technologies:</li><li>Programming, scripting and statistical languages (e.g. Python, R, use of dataframes)</li><li>Data visualization software (e.g. Tableau, d3, plotly)</li><li>Relational databases and advanced SQL queries</li><li>Excellent oral, written, and presentation communication skills</li><li>Ability to communicate technical concepts and results to a non-technical audience</li><li>Highly organized, self-directed, and curious</li><li>Personable and positive, with a high level of integrity</li><li>Interest in public policy and social/economic justice</li></ul><p>Candidates with additional experience in any of the following areas are preferred:</p><ul><li>2+ years of demonstrated qualitative, quantitative or investigative research abilities</li><li>Git/github and linux command line tools</li><li>Graph databases (e.g. Neo4J)</li><li>Cloud, distributed and container computing platforms (e.g. AWS, Redshift, EC2, docker)</li><li>Analyzing social networks (e.g. Facebook, Twitter, Instagram)</li><li>Natural Language Processing or Entity Resolution</li></ul><p><b><i>Candidates from diverse backgrounds are encouraged to apply.</i></b></p><p><b><i>The OAG is an equal opportunity employer and is committed to workplace diversity.</i></b></p><p><b>HOW TO APPLY</b></p><p><b>To apply, please visit the OAG jobs pages, </b><b>www.ag.ny.gov/job-postings</b><b>. Documents submitted via Indeed will not be accepted.</b></p><p>Applicants must be prepared to submit a complete application consisting of the following:</p><ul><li><b>Cover Letter</b> <i>(You may address to Sandra Jefferson Grannum, Esq., Bureau Chief, Legal Recruitment)</i></li><li><b>Resume</b></li><li><b>List of three (3) referenceswith contact information and email addresses</b></li><li><b>Writing Sample</b></li></ul><p><b><i>Please note: Failure to submit a complete application will delay the consideration of your application.</i></b></p><p><b>If you have questions regarding a position with the OAG and the application process or you need assistance with submitting your application, please contact the Legal Recruitment Bureau at 212-416-8080.</b></p><p><b>For more information about the OAG, please visit our website: www.ag.ny.gov</b></p><p>Job Type: Full-time</p></span>",,"New York, NY"
Data Scientist/Pre Sales Engineer,Celonis,"<span id=""job_summary"" class=""summary""><p>Celonis is the world's leading process mining software company. Process Mining is a new big data analytics technology designed to help customers to optimize their operations. Process Mining goes through the already existing log data every IT system produces and finds out where you can improve.</p><p>Founded in Munich in 2011, we have expanded into 25 countries and claims clients such as Siemens, KPMG, Deloitte, Bayer, and Vodafone, among others. We create innovation with passion, perform with team spirit, and think with ambition. Our vision is big - which is why big data is exactly our thing.</p><p><b>OUR VISION: </b></p><p>Help every business in the world run more efficiently.</p><p>We use highly advanced big data and machine learning technology to collect and analyze the digital footprints companies create in their day-to-day operations, and are able to detect inefficiencies, compliance violations and unnecessary business process complexity in real-time. Solving this transformational problem, we are on an exciting mission to build a new global leader in the enterprise software domain.</p><p><b>ABOUT THIS ROLE: </b></p><p>As our Data Scientist/Pre Sales Engineer, you will support the Celonis sales team in your region in the analysis, strategic solution design and closing of new customers. We look to you to interact with all levels of the target organization and align the Celonis solution with the customer’s strategic goals and most important challenges. You deliver proof of concept projects and build demo systems on the customer’s own data to show the business value of the Celonis solution to interested customers.</p><p><b>QUALIFICATIONS: </b></p><ul><li>BA / BS (or MA / MS) from a top university or equivalent</li><li>Relevant work experience (1-2 years) in the area of enterprise software pre-sales, consulting or business development</li><li>Good understanding of core ERP processes</li><li>Strong analytical skills</li><li>Data science expertise is a plus</li><li>SAP know-how is a plus</li><li>Excellent written, oral communication and presentation skills</li><li>Strong interpersonal and organizational skills</li><li>Ability to work, build and maintain relationships at all levels</li><li>Self-starter who is dedicated, hungry, and driven to succeed – a true outperformer</li><li>Looking for a product that you can push with passion and drive</li></ul><p>Job Type: Full-time</p><p>Experience:</p><ul><li>Data Analysis: 1 year</li></ul><p>Education:</p><ul><li>Bachelor's</li></ul><p>Location:</p><ul><li>New York, NY</li></ul><p>Required work authorization:</p><ul><li>United States</li></ul></span>",,"New York, NY"
Data Analyst/Research Scientist,Columbia University Medical Center,"<span id=""job_summary"" class=""summary""><p>We are looking for a new person to join our research team as a Data Scientist. For this full-time officer of research position, we seek a person with strong programming, data management, analytic, and communication skills to join our team in the assessment of national claims data, clinical registry data, and electronic health records (EHR), to evaluate drivers of outcomes, quality, and value for children with congenital heart disease.</p><p>The position is responsible for collaborating with Principal Investigator (PI) and working independently within the scientific framework of the Pediatric Heart Center to 1) support execution of sponsored research projects and 2) analyze/troubleshoot internal registry data to identify areas to improve care delivery. We are looking for a person with experience and graduate training related to health care delivery, public health, and/or the financing of the United States health system. The ideal candidate will have had some experience working with health administrating/insurance claims data and/or electronic health records. Prior experience with the Department of Health or other training with large data will be viewed favorably. While the position requires technical skills, we are particularly looking for a person passionate about for making the health system work more efficiently and effectively for children and in growing as a member of our team. The person hired would participate in designing applied research and conducting related analyses. Recent projects include assessing the effects of socioeconomic disparities on outcomes and resource utilization for children undergoing congenital heart surgery and examining the effects of surgeon age/experience on patient outcomes.</p><p>Responsibilities would include:</p><p>1) Working directly with the PI to design and implement new projects and to make sure analyses are useful, accurate, and clearly communicated.</p><p>2) Merging, cleaning, documenting, and managing administrative and clinical registry-based datasets; analyzing data quality and integrity; identifying and solving data quality problems; coding and creating new variables; preparing analysis files; producing statistical summaries, charts and tables; and communicating results.</p><p>No prior knowledge of congenital heart disease is required, but a desire learn and to join a team aimed at improving quality and value of care for children with complex chronic conditions is a must.</p><p><b>Job Responsibilities: </b></p><ul><li>Participate in developing research designs, analytic plans, and communicating results</li><li>Develop programs, methodologies, and files for analyzing and presenting data</li><li>Import and clean raw datasets and evaluate data quality</li><li>Perform statistical analyses according to the study design (e.g., hierarchical modeling, survival analyses, weighted analyses, difference-in-difference, simulation, etc.)</li><li>Accurately and appropriately interpret and communicate results</li><li>Detect and address issues in data and analytic results</li><li>Clearly communicate processes used and results achieved, and suggest new and alternative approaches</li><li>Assist in writing and editing manuscripts for publication</li><li>Cultivate deep familiarity with methodological approaches and data</li></ul><p><b>Minimum Qualifications: </b></p><ul><li>To qualify you must have a Masters degree in public health, healthcare administration, economics, statistics, computer science, or a related quantitative area</li><li>2-5 years relevant experience (can be before or during Masters training)</li><li>Strong verbal and written communication and interpersonal skills and a desire to grow as a member of the team</li><li>Attention to detail</li><li>Ability to manage complex research and analyses</li><li>Strong analytic, organizational, and time management skills</li><li>Proficiency in STATA, SAS, R, or other statistical programs</li></ul><p><i>Qualified candidates must be able to effectively communicate with all levels of the organization.</i></p><p>Interested applicants apply to: academicjobs.columbia.edu/applicants/Central?quickFind=65756</p><p>Job Type: Full-time</p><p>Education:</p><ul><li>Master's</li></ul></span>",217 reviews,"New York, NY 10032"
Data Scientist,fractalanalytics,"<span id=""job_summary"" class=""summary""><div><p>As a Data Scientist, you solve complex challenges and identify new opportunities using a combination of analytical expertise, business acumen, strategic thinking, and project and relationship management skills.</p>
<p>RESPONSIBILITIES</p>
<ul><li>Integrate and mine large data sets, connecting data from disparate sources to identify insights and patterns using predictive and prescriptive analytics, and machine learning techniques</li>
<li>Conduct intermediate and advanced statistical analysis, such as linear regression, ANOVA, time-series analysis, classification models, neural networks, decision trees, as well as analysis of unstructured data (e.g., social media listening, digital footprints, speech analytics)</li>
<li>Prepare and present written and verbal reports, findings, and presentations to key stakeholders, distilling complex statistical information into easy-to-understand business language</li>
<li>Apply knowledge of U.S. businesses and corporate groups and relevant industry knowledge to analysis and insights</li>
<li>Manage project budgets and timelines, ensuring times and on-budget completion</li>
</ul><p>QUALIFICATIONS</p>
<ul><li>Experience analyzing large data sets using statistical software, such as SAS, R, Python, and SPSS, to discover new business insights</li>
<li>Excel and PowerPoint a must. SQL Programming and experience of at least one DBMS such as IBM DB2, Oracle, SQL Server or Sybase are required. Java strongly desired</li>
<li>Prior experience with building models, analyzing unstructured data, and/or machine learning</li>
<li>Relevant academic experience and work experience in Statistics, with exposure to data structures and data visualization</li>
<li>Master’s degree in Mathematics, Statistics, Engineering, Computer Science, or a quantitative discipline plus a minimum of 2-3 years of work experience, or bachelor’s degree plus 5 years work experience</li>
<li>Well developed written and oral communication skills, with ability to present and explain data to business manager</li>
<li>Strong project management skills / experience managing projects, budgets, and schedules to successful completion</li>
<li>Some prior exposure to financial services, Telecom or insurance industry desired</li></ul></div></span>",,"Jersey City, NJ"
Data Scientist,Blackboard Insurance,"<span id=""job_summary"" class=""summary""><div><p>We’re looking for a rogue Data Scientist who would push the boundaries of applying cutting-edge scientific methods and drive the development of innovative data-driven solutions within the insurance industry.</p>
<p><b>
But first, get to know us:</b></p>
<p>
We are Blackboard InsuranceSM: a group of tech-forward, seasoned insurance experts ready to make a real change in our industry. We believe there’s a better way to do commercial insurance – a way that starts with a clean slate, free from inefficiency and outdated technology. We’re building a state-of-the-art, tech-enabled platform that delivers faster underwriting and claims services, giving brokers and companies more time to focus on what’s important: building their businesses. If you’re ready to join the revolution, and work obsessively with us to make insurance better, faster, and more efficient, then come join us.
</p><p><b>We know this opportunity and environment won’t be right for everybody. But please get in touch if you have:</b></p>
<ul>
<li>Ph.D. in a scientific discipline (e.g., Applied Statistics/Mathematics, Computer Science, Engineering, or Physics).</li>
<li>3+ years industry experience post PHD</li>
<li>Scientific expertise and applied experience in Machine Learning.</li>
<li>Foundational knowledge of Natural Language Processing.</li>
<li>Knowledge of advanced statistical theories, methodologies, and inference tools (e.g., Bayesian inference, hierarchical models, deep learning, Gaussian processes, and causal inference).</li>
<li>Advanced programming skills in Python and/or R (and their related data processing, Machine Learning, and visualization libraries).</li>
<li>Practical experience in preparing data for Machine Learning.</li>
<li>The ability to work independently, anticipate problems, and forge a path into uncharted territory.</li>
<li>Excellent (written and oral) communication skills.</li>
</ul><p><b>As a Blackboard Data Scientist, here are some of the things you will do:</b></p>
<ul>
<li>Provide innovative solutions for business problems developed using rigorous scientific approaches.</li>
<li>Use data (including third party data) to fuel automation and decisions within our company.</li>
<li>Develop and employ AI algorithms that can find (predictive) patterns in large multi-modal data.</li>
<li>Work in highly cross-functional and collaborative teams together with developers, designers, analysts, underwriters and claims adjusters.</li>
<li>Take ownership of development and implementation of ideas and solutions.</li>
</ul> <p><b>As a member of the Blackboard Insurance team you will enjoy the thrill of turning the world of</b><br>
<b>insurance on its head as well as:</b></p>
<ul>
<li>A competitive salary.</li>
<li>401(k) employee matching program.</li>
<li>Medical, dental, vision, and life insurance.</li>
<li>Pre-tax commuter benefits.</li>
<li>Unlimited vacation days.</li>
<li>Casual dress code <i>(jeans are welcome).</i></li>
</ul>
<br>
<p>We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.</p></div></span>",,"New York, NY"
Data Analyst / Data Scientist,Defined Clarity,"<span id=""job_summary"" class=""summary""><div><p>We have a client that is looking for a data scientist to add to its team. This position is for a Fortune 50 company that is based in Philadelphia. This is not a remote position.</p><div>
<ul><li>Expertise in SQL Development.</li><li>Call Center or Customer care data experience a plus.</li><li>Must be able to write SQL queries and must have experience with data extraction</li></ul>
and ETL.<br>
<ul><li>Experience with Teradata and SQL Server Databases</li><li>R Studio and Python scripting is a plus.</li><li>Communication and presentation skills are a must as you will have to present to key stakeholders.</li><li>Tableau analysis and dashboard development is required.</li></ul></div></div> <div>A minimum of three years professional-level SQL programming experience in a<br>
Windows and Linux environment.<br>
<ul><li>A Computer Science or Mathematics degree.</li><li>Outstanding problem-solving skills.</li><li>Ability to develop and deliver power point presentations.</li><li>Knowledge of shell scripts and other languages including Java, Python or Perl is a</li></ul>
plus.</div></span>",,"New York, NY"
Staff Data Scientist,Foursquare,"<span id=""job_summary"" class=""summary""><b>About Foursquare:</b><br>
Since our inception in 2009, Foursquare has been a leading force in changing how location information enriches our real-world and digital lives. As a location intelligence company, Foursquare is comprised of two well-known consumer apps, Foursquare and Swarm, as well as thriving media and enterprise products. Our B2B offerings include Places (for developers), Pinpoint and Attribution (for marketers), and Place Insights (for analysts, based on the world's largest foot traffic panel). With more than 200 people across our offices in New York, San Francisco, and in sales offices around the globe, we’re dedicated to our trailblazing mission—enriching consumer experiences and informing business decisions with location intelligence.
<br><br>
<b>About our Engineering Team:</b><br>
As a member of Foursquare’s engineering team, we want you to bring experience building real products from the ground up. We're passionate about tackling tough challenges in the location space and look for others who like to dive deep into code and help solve hard problems. You should be comfortable running with your own ideas and eager to learn new skills on a bleeding edge platform. We use a variety of tools, technologies, and languages to build software (Scala, Thrift, MongoDB, Memcached, JS/jQuery, Kafka, Pants, Hadoop, MR, Spark) but experience with equivalent ones will do just fine.
<br><br>
Join us and help bring our feature ideas (and your own!) off the whiteboard and into reality. Here are some high level areas you could help within our NY or SF office:
<br><br>
<ul>
<li>Improve the accuracy and efficiency of one of the premier Place search APIs in existence. Our API powers Foursquare City Guide and Swarm as well as apps from Microsoft, Uber, Samsung, Twitter and more</li>
<li>Leverage machine learning techniques to build systems which process and derive insights from billions of location data points every day</li>
<li>Launch features that make cities easier to explore and continue to push the Foursquare City Guide and Swarm apps forward</li>
<li>Build resilient services and tooling which drive all of our offline processing of petabytes of data</li>
</ul>
<b>About the Role:</b><br>
The Pilgrim team is responsible for building and maintaining models that make up the foundation of Foursquare’s cutting-edge location intelligence. As a staff member on this team, you will be expected to be able to lead and execute on R&amp;D efforts to advance our machine learning and location intelligence technology. You will be able to operate independently as well as to guide small teams of data scientists and machine learning engineers when needed in order to deliver results on enterprise-scale datasets using a variety of techniques. Our team focuses on delivering both research and software in a collaborative and supportive environment where ideation and problem-solving are vital.
<br><br>
Qualifications
<br><br>
<ul>
<li>8+ years of work or educational experience in data science, machine learning, and statistics.</li>
<li>3+ years of experience as a manager or technical lead</li>
<li>PhD degree or comparable research experience</li>
<li>Proven track record of delivering on products and/or practical research endeavors</li>
<li>Experience with one or more general purpose programming languages including but not limited to: Scala, Java or C++</li>
<li>Experience with Hadoop, scalding, spark, or similar frameworks is a plus</li>
</ul>
Foursquare is proud to foster an inclusive environment that is free from discrimination. We strongly believe in order to build the best products, we need a diversity of perspectives and backgrounds. This leads to a more delightful experience for our users and team members. We value listening to every voice and we encourage everyone to come be a part of building a company and products we love.
<br><br>
Foursquare is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, protected Veteran status, or any other characteristic protected by law.</span>",7 reviews,"New York, NY"
Clinical Data Assistant - IPC,NYU Langone Health,"<span id=""job_summary"" class=""summary"">NYU Langone Health is a world-class, patient-centered, integrated academic medical center, known for its excellence in clinical care, research, and education. It comprises more than 200 locations throughout the New York area, including five inpatient locations , a children's hospital , three emergency rooms and a level 1 trauma center. Also part of NYU Langone Health is the Laura and Isaac Perlmutter Cancer Center , a National Cancer Institute¿designated cancer center, and NYU School of Medicine , which since 1841 has trained thousands of physicians and scientists who have helped to shape the course of medical history. For more information, go to nyulangone.org , and interact with us on Facebook , Twitter , YouTube and Instagram .
<br><br>
<b>Position Summary:</b><br>
We have an exciting opportunity to join our team as a Clinical Data Assistant-IPC.
<br><br>
In this role, the successful candidate The infection prevention and control clinical data assistant will oversee and assist with the transformation of data into information to guide clinicians, support staff and administration as we work to eliminate all preventable hospital-acquired infections at NYULMC
<br><br>
<b>Job Responsibilities:</b><br>
Enters HAI data into the government secured network (NHSN) and navigates the NHSN system to obtain different reports.
<br>Prepares reports as needed.
<br>Performs other duties as aligned with the mission and values of the organization.
<br><br>
<b>Minimum Qualifications:</b><br>
To qualify you must have a Bachelor's Degree in pertinent field (biostatistics; epidemiology; clinical informatics; information management; public health; or similar field). Experience with clinical data sources, including electronic medical records and hospital administrative data. Mastery of data analysis tools (SPSS, SAS, Stata or equivalent) and data management tools (Microsoft Access, Excel or equivalent).
<br>Qualified candidates must be able to effectively communicate with all levels of the organization.
<br><br>
NYU Langone Health provides its staff with far more than just a place to work. Rather, we are an institution you can be proud of, an institution where you'll feel good about devoting your time and your talents.
<br><br>
NYU Langone Health is an equal opportunity and affirmative action employer committed to diversity and inclusion in all aspects of recruiting and employment. All qualified individuals are encouraged to apply and will receive consideration without regard to race, color, gender, gender identity or expression, sex, sexual orientation, transgender status, gender dysphoria, national origin, age, religion, disability, military and veteran status, marital or parental status, citizenship status, genetic information or any other factor which cannot lawfully be used as a basis for an employment decision. We require applications to be completed online.
<br>If you wish to view NYU Langone Health's EEO policies, please click here . Please click here to view the Federal ""EEO is the law"" poster or visit https://www.dol.gov/ofccp/regs/compliance/posters/ofccpost.htm for more information.</span>",705 reviews,"New York, NY 10016"
Data Analytics Specialist,DEPARTMENT OF CITY PLANNING,"<span id=""job_summary"" class=""summary"">THE AGENCYThe Department of City Planning (DCP) plans for the strategic growth and development of the Citythrough community-based planning, developing land use policies and zoning regulations applicablecitywide and sharing its perspectives on growth and community needs with sister agencies incollaboration with the Office of Management and Budget (OMB).DCP?s six strategic objectives include: (a) catalyze long-term neighborhood improvement throughintegrated planning and targeted accompanying public investments; (b) encourage housing production,affordability, and quality; (c) promote economic development and job growth; (d) enhance resiliency andsustainability of neighborhoods; (e) ensure integrity, timeliness and responsiveness in land use reviews;and, (f) supply objective data and expertise to a broad range of planning functions and stakeholders.Central to its mission, DCP supports the City Planning Commission in its annual review of approximately450 land use applications. The Department also works closely with OMB in developing the Ten-YearCapital Strategy, and helping administer the $1 billion Neighborhood Development Fund, geared towardensuring that growing neighborhoods undergoing rezoning have accompanying infrastructureinvestments.The New York City Department of City Planning is a great place to work ? cultivating intellectualinspiration, professional development and creativity.THE DIVISIONThe Transportation Division is responsible for carrying out studies of transportation problems, needs andimpacts, as well as proposing physical, operational, policy and programmatic improvements to thetransportation system. The Division manages some of the agency?s largest data sets, including carregistrations, for-hire-vehicle trips, and travelshed data.THE POSITIONUnder supervision, the Data Analytics Specialist will be assigned to maintain, manage, process andanalyze databases that inform the agency?s transportation studies, and to carry out various planningtasks as part of an established work program. Typical tasks will include: ?Assist in the management and maintenance of large data sets;?Develop studies and produce complex analytic work, including identifying local and citywide trends andpatterns and supporting broad agency-level studies;?Conduct studies on various transportation issues, including Infrastructure, Intelligent TransportationSystems, Pedestrian, or Traffic Engineering planning studies and prepare related technical memorandaand reports;?Conduct field visits to assess existing transportation conditions;?Participate in surveys, studies and investigations of traffic conditions and recommend methods andmeans of reducing congestion and accidents;?Assist in the analysis of traffic volume counts and make recommendations concerning the arterial streetsin a specified area of the City to improve circulation, access and speeds;?Recommend appropriate policies, plans, physical and operational improvements to address specifictransportation issues;?Establish and maintain liaison with other departments, consultants and developers to provide and obtaintechnical assistance and information;?Represent the division and the department at meetings on various advisory committees;?Perform other related tasks.
<br><br>
Minimum Qual Requirements
<br><br>
1. For Assignment Level I (only physical, biological and environmental sciences and public health) A master's degree from an accredited college or university with a specialization in an appropriate field of physical, biological or environmental science or in public health. To be appointed to Assignment Level II and above, candidates must have: 1. A doctorate degree from an accredited college or university with specialization in an appropriate field of physical, biological, environmental or social science and one year of full-time experience in a responsible supervisory, administrative or research capacity in the appropriate field of specialization; or 2. A master's degree from an accredited college or university with specialization in an appropriate field of physical, biological, environmental or social science and three years of responsible full-time research experience in the appropriate field of specialization; or 3. Education and/or experience which is equivalent to ""1"" or ""2"" above. However, all candidates must have at least a master's degree in an appropriate field of specialization and at least two years of experience described in ""2"" above. Two years as a City Research Scientist Level I can be substituted for the experience required in ""1"" and ""2"" above. NOTE: Probationary Period Appointments to this position are subject to a minimum probationary period of one year.
<br><br>
Preferred Skills
<br><br>
?Proven knowledge of transportation planning issues, programs, policies and analytical techniquespertinent to New York City;?Strong writing and oral communication skills;?Strong GIS skills: ArcGIS is required, PostGIS, QGIS preferred;?Excellent data analysis skills including programming languages such as Python, R and SQL, relationaldatabase management system such as PostgreSQL, MySQL, SQLite, and data visualization such asCarto or Tableau;?Ability to work cooperatively within a team and to work independently;?Ability to work effectively with community residents, public officials and agencies;?Ability to organize assignments and complete work on time with high professional standards;?Knowledge of project planning/management, NYCT Subway &amp; Bus operations, data gathering andanalysis techniques, NYCT rules and regulations is a plus.
<br><br>
To Apply
<br><br>
Click on ?Apply Now? at the bottom of the postingPlease be advised only candidates under consideration will be contacted.Appointments are subject to Office of Management and Budget (OMB) approval.The candidate selected for this position must be a resident of the City of New York or become a residentwithin 90 days of appointment.Authorization to work in the United States is required for this position.Sponsorship is not available for this position.THE DEPARTMENT OF CITY PLANNING IS AN EQUAL OPPORTUNITY EMPLOYER AND A COPYOF THE EQUAL OPPORTUNITY PROGRAMS IS AVAILABLE IN THE HUMAN CAPITAL DIVISION.THE DEPARTMENT MAKES AVAILABLE ACCOMMODATIONS FOR DISABLED APPLICANTS.
<br><br>
Residency Requirement
<br><br>
New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.</span>",,"Manhattan, NY"
"Data Scientist, Supply Chain Analytics",HelloFresh,"<span id=""job_summary"" class=""summary"">Come see what’s cookin’ at HelloFresh!
<br><br>
At HelloFresh, our mission is to revolutionize the way we eat by making it more convenient and exciting to cook meals from scratch, at home. With offices all over the world, we deliver delicious meals to millions of customers, worldwide.
<br><br>
HelloFresh is one of the top three largest companies to come out of Europe over the past four years-- we are now active in nine markets, and on three continents.
<br><br>
<b>Job Description:</b><br>
We’re hiring a Data Scientist to join our Supply Chain Analytics Team here at HelloFresh. In this exciting role, you will develop cutting edge insights using a wealth of data about our suppliers, ingredients, operations, and customers to improve the customer experience, drive operational efficiencies and build new supply chain capabilities. To succeed in this role, you’ll need to have a genuine interest in using data and analytic techniques to solve real business challenges, and a keen interest to make a big impact on a fast-growing organization.
<br><br>
You will...
<br><br>
<ul>
<li>Support efforts across the operations organization (supply planning, logistics, procurement, production, etc) leveraging data and advanced statistical and machine learning techniques to optimize processes and procedures that lead to improved decision making that impacts quality, reliability, and cost</li>
<li>Communicate results and recommendations to stakeholders in a business oriented manner with clear guidelines which can be implemented across functions in the supply chain</li>
<li>Own the development and deployment of quantitative models to make routine and strategic operational decisions to plan the fulfillment of orders and identify the supply chain capabilities we need to build to continue succeeding in the business</li>
<li>Perform model and analysis assessment, validation, data gathering and cleaning activities, data visualization</li>
<li>Partner with our IT department to help enhance our infrastructure and data availability</li>
<li>Work with complex datasets across various platform to perform various types of analyses, including descriptive, prescriptive, inferential, causal, and exploratory analyses—among others</li>
</ul>
You are...
<br><br>
<ul>
<li>A data junkie – you love finding the details in facts, statistics, and putting it all together for an actionable plan</li>
<li>Intellectually curious – You love to learn new techniques and programming languages, understand why things are the way they are, how things work, and challenge the status quo</li>
<li>Detail-oriented – You possess strong organizational skills and consistently demonstrate a methodical approach to all your work</li>
<li>A self-starter – You are highly motivated and passionate. You’re eager to take on new projects without knowing exactly what you will uncover</li>
<li>Agile – You thrive in fast-paced and dynamic environments and are comfortable working autonomously</li>
<li>A critical thinker – You use logic to identify opportunities, evaluate alternatives, and synthesize and present critical information to solve complex problems</li>
</ul>
At a minimum, you have...
<br><br>
<ul>
<li>A Bachelor’s Degree or Master’s in Statistics, Economics, Applied Mathematics, Computer Science, Data Science, Engineering or a related field</li>
<li>2+ years’ experience delivering analytical solutions to complex business problems</li>
<li>2+ years’ experience with logistic regression, decision trees, survival analysis, design of experiment and other statistical techniques</li>
<li>2+ years’ experience managing and analyzing large data sets of data with advanced tools, such as R and Python</li>
<li>Experience extracting, transforming, and loading data from structured and unstructured databases, such as: Hadoop, MS SQL, MySQL, PostgreSQL, BigQuery etc.</li>
<li>Other programming experience (Spark, Scala, Java, etc.) is a plus</li>
</ul>
Our team is diverse, high-performing and international, helping us to create a truly inspiring work environment in which you will thrive!
<br><br>
It is the policy of HelloFresh not to discriminate against any employee or applicant for employment because of race, color, religion, sex, sexual orientation, gender identity, national origin, age, marital status, genetic information, disability or because he or she is a protected veteran.</span>",208 reviews,"New York, NY"
